Horizont number: 0; Number of points: 0----------------------------------------
Horizont number: 1; Number of points: 2820----------------------------------------
0.445702;0.0602019;-0.986009
0.445702;0.0602019;-0.986009
0.445702;0.0603019;-0.985998
0.445702;0.0603019;-0.985998
0.445702;0.0603019;-0.985998
0.445702;0.0604019;-0.98598
0.445702;0.0604019;-0.98598
0.445702;0.0604019;-0.98598
0.445702;0.0605019;-0.985962
0.445702;0.0605019;-0.985962
0.445702;0.0605019;-0.985962
0.445702;0.0606019;-0.985945
0.445702;0.0606019;-0.985945
0.445702;0.0606019;-0.985945
0.445702;0.0607019;-0.985927
0.445702;0.0607019;-0.985927
0.445702;0.0607019;-0.985927
0.445702;0.0608019;-0.985909
0.445702;0.0608019;-0.985909
0.445702;0.0608019;-0.985909
0.445702;0.0609019;-0.985891
0.445702;0.0609019;-0.985891
0.445702;0.0609019;-0.985891
0.445702;0.0610019;-0.985873
0.445702;0.0610019;-0.985873
0.445702;0.0610019;-0.985873
0.445702;0.0611019;-0.985856
0.445702;0.0611019;-0.985856
0.445702;0.0611019;-0.985856
0.445702;0.0612018;-0.985838
0.445702;0.0612018;-0.985838
0.445702;0.0612018;-0.985838
0.445702;0.0613018;-0.98582
0.445702;0.0613018;-0.98582
0.445702;0.0613018;-0.98582
0.445702;0.0614019;-0.985802
0.445702;0.0614019;-0.985802
0.445702;0.0614019;-0.985802
0.445702;0.0615019;-0.985784
0.445702;0.0615019;-0.985784
0.445702;0.0615019;-0.985784
0.445702;0.0616019;-0.985767
0.445702;0.0616019;-0.985767
0.445702;0.0616019;-0.985767
0.445702;0.0617019;-0.985749
0.445702;0.0617019;-0.985749
0.445702;0.0617019;-0.985749
0.445702;0.0618019;-0.985731
0.445702;0.0618019;-0.985731
0.445702;0.0618019;-0.985731
0.445702;0.0619019;-0.985713
0.445702;0.0619019;-0.985713
0.445702;0.0619019;-0.985713
0.445702;0.0620019;-0.985695
0.445702;0.0620019;-0.985695
0.445702;0.0620019;-0.985695
0.445702;0.0621019;-0.985678
0.445702;0.0621019;-0.985678
0.445702;0.0621019;-0.985678
0.445702;0.0622019;-0.98566
0.445702;0.0622019;-0.98566
0.445702;0.0622019;-0.98566
0.445702;0.0623019;-0.985642
0.445702;0.0623019;-0.985642
0.445702;0.0623019;-0.985642
0.445702;0.0624019;-0.985624
0.445702;0.0624019;-0.985624
0.445702;0.0624019;-0.985624
0.445702;0.0625019;-0.985606
0.445702;0.0625019;-0.985606
0.445702;0.0625019;-0.985606
0.445702;0.0626019;-0.985589
0.445702;0.0626019;-0.985589
0.445702;0.0626019;-0.985589
0.445702;0.0627019;-0.985571
0.445702;0.0627019;-0.985571
0.445702;0.0627019;-0.985571
0.445702;0.0628019;-0.985553
0.445702;0.0628019;-0.985553
0.445702;0.0628019;-0.985553
0.445702;0.0629019;-0.985524
0.445702;0.0629019;-0.985524
0.445702;0.0629019;-0.985524
0.445702;0.0630019;-0.9855
0.445702;0.0630019;-0.9855
0.445702;0.0630019;-0.9855
0.445702;0.0631019;-0.985476
0.445702;0.0631019;-0.985476
0.445702;0.0631019;-0.985476
0.445702;0.0632019;-0.985452
0.445702;0.0632019;-0.985452
0.445702;0.0632019;-0.985452
0.445702;0.0633019;-0.985429
0.445702;0.0633019;-0.985429
0.445702;0.0633019;-0.985429
0.445702;0.0634019;-0.985405
0.445702;0.0634019;-0.985405
0.445702;0.0634019;-0.985405
0.445702;0.0635019;-0.985381
0.445702;0.0635019;-0.985381
0.445702;0.0635019;-0.985381
0.445702;0.0636019;-0.985357
0.445702;0.0636019;-0.985357
0.445702;0.0636019;-0.985357
0.445702;0.0637019;-0.985333
0.445702;0.0637019;-0.985333
0.445702;0.0637019;-0.985333
0.445702;0.0638019;-0.985309
0.445702;0.0638019;-0.985309
0.445702;0.0638019;-0.985309
0.445702;0.0639018;-0.985204
0.445702;0.0639018;-0.985204
0.445702;0.0639018;-0.985204
0.445702;0.0640019;-0.985186
0.445702;0.0640019;-0.985186
0.445702;0.0640019;-0.985186
0.445702;0.0641019;-0.985169
0.445702;0.0641019;-0.985169
0.445702;0.0641019;-0.985169
0.445702;0.0642019;-0.985151
0.445702;0.0642019;-0.985151
0.445702;0.0642019;-0.985151
0.445702;0.0643019;-0.985133
0.445702;0.0643019;-0.985133
0.445702;0.0643019;-0.985133
0.445702;0.0644019;-0.985116
0.445702;0.0644019;-0.985116
0.445702;0.0644019;-0.985116
0.445702;0.0645019;-0.985098
0.445702;0.0645019;-0.985098
