Horizont number: 0; Number of points: 0----------------------------------------
Horizont number: 1; Number of points: 688----------------------------------------
0.308576;-0.0257024;-1.15999
0.308576;-0.0256024;-1.16017
0.308576;-0.0255024;-1.1622
0.308576;-0.0254024;-1.16233
0.308576;-0.0253024;-1.16245
0.308576;-0.0252024;-1.16258
0.308576;-0.0251024;-1.16123
0.308576;-0.0250024;-1.1614
0.308576;-0.0249024;-1.16157
0.308576;-0.0248024;-1.16173
0.308576;-0.0247024;-1.1619
0.308576;-0.0246024;-1.16207
0.308576;-0.0245024;-1.16223
0.308576;-0.0244024;-1.1621
0.308576;-0.0243024;-1.16281
0.308576;-0.0242024;-1.16298
0.308576;-0.0241024;-1.16315
0.308576;-0.0240024;-1.16332
0.308576;-0.0239024;-1.16349
0.308576;-0.0238024;-1.16367
0.308576;-0.0237024;-1.16384
0.308576;-0.0236024;-1.16401
0.308576;-0.0235024;-1.16421
0.308576;-0.0234024;-1.16438
0.308576;-0.0233024;-1.16456
0.308576;-0.0232024;-1.16473
0.308576;-0.0231024;-1.16491
0.308576;-0.0230024;-1.16426
0.308576;-0.0229024;-1.16445
0.308576;-0.0228024;-1.16393
0.308576;-0.0227024;-1.16414
0.308576;-0.0226024;-1.16436
0.308576;-0.0225024;-1.16458
0.308576;-0.0224024;-1.16587
0.308576;-0.0223024;-1.16539
0.308576;-0.0222024;-1.16559
0.308576;-0.0221024;-1.1658
0.308576;-0.0220024;-1.166
0.308576;-0.0219024;-1.16621
0.308576;-0.0218024;-1.16641
0.308576;-0.0217024;-1.16662
0.308576;-0.0216024;-1.16682
0.308576;-0.0215024;-1.16703
0.308576;-0.0214024;-1.16788
0.308576;-0.0213024;-1.16807
0.308576;-0.0212024;-1.16826
0.308576;-0.0211024;-1.16845
0.308576;-0.0210024;-1.16863
0.308576;-0.0209024;-1.1689
0.308576;-0.0208024;-1.16909
0.308576;-0.0207024;-1.16929
0.308576;-0.0206024;-1.16948
0.308576;-0.0205024;-1.20606
0.308576;-0.0205024;-1.1993
0.308576;-0.0205024;-1.16958
0.308576;-0.0204024;-1.20613
0.308576;-0.0204024;-1.16862
0.308576;-0.0204024;-1.16977
0.308576;-0.0203024;-1.16996
0.308576;-0.0202024;-1.17015
0.308576;-0.0201024;-1.17034
0.308576;-0.0200024;-1.17053
0.308576;-0.0199024;-1.17072
0.308576;-0.0198024;-1.17091
0.308576;-0.0197024;-1.16998
0.308576;-0.0196024;-1.17021
0.308576;-0.0195024;-1.17043
0.308576;-0.0194024;-1.17065
0.308576;-0.0193024;-1.17088
0.308576;-0.0192024;-1.1711
0.308576;-0.0191024;-1.16985
0.308576;-0.0190024;-1.17011
0.308576;-0.0189024;-1.17038
0.308576;-0.0188024;-1.17065
0.308576;-0.0187024;-1.17091
0.308576;-0.0186024;-1.17155
Horizont number: 2; Number of points: 684----------------------------------------
0.299977;-0.0869024;-1.15464
0.299977;-0.0868024;-1.15463
0.299977;-0.0867024;-1.15462
0.299977;-0.0866024;-1.1546
0.299977;-0.0865024;-1.15459
0.299977;-0.0864023;-1.15458
0.299977;-0.0863023;-1.15457
0.299977;-0.0862023;-1.15456
0.299977;-0.0861023;-1.15454
0.299977;-0.0860023;-1.15453
0.299977;-0.0859023;-1.15452
0.299977;-0.0858023;-1.15451
0.299977;-0.0857023;-1.1545
0.299977;-0.0856023;-1.15448
0.299977;-0.0855023;-1.15447
0.299977;-0.0854023;-1.15446
0.299977;-0.0853023;-1.15445
0.299977;-0.0852023;-1.15444
0.299977;-0.0851023;-1.15442
0.299977;-0.0850023;-1.15441
0.299977;-0.0849024;-1.15381
0.299977;-0.0848024;-1.15381
0.299977;-0.0847024;-1.15376
0.299977;-0.0846023;-1.15376
0.299977;-0.0845023;-1.15375
0.299977;-0.0844023;-1.15375
0.299977;-0.0843023;-1.15374
0.299977;-0.0842023;-1.15374
0.299977;-0.0841023;-1.15373
0.299977;-0.0840023;-1.15373
